# Target: WASP-39b
# Instrument: NIRISS/SOSS
# Pipeline: transitspectroscopy
# Author: Espinoza
wave,wave_error,dppm,dppm_err,order
0.69029, 0.00020, 21046.90, 289.30, 2
0.69069, 0.00020, 21176.60, 443.70, 2
0.69119, 0.00025, 20858.70, 353.00, 2
0.69159, 0.00020, 20811.20, 412.90, 2
0.69199, 0.00020, 20971.50, 462.40, 2
0.69249, 0.00025, 21386.80, 432.30, 2
0.69289, 0.00020, 21057.40, 443.80, 2
0.69329, 0.00020, 21226.90, 373.20, 2
0.69379, 0.00025, 20967.60, 386.50, 2
0.69419, 0.00020, 21710.70, 392.20, 2
0.69469, 0.00025, 21083.10, 440.70, 2
0.69509, 0.00020, 21146.60, 516.90, 2
0.69549, 0.00020, 21066.30, 366.90, 2
0.69599, 0.00025, 20649.30, 378.90, 2
0.69639, 0.00020, 20809.20, 461.40, 2
0.69679, 0.00020, 20840.90, 386.80, 2
0.69729, 0.00025, 20959.30, 512.20, 2
0.69769, 0.00020, 21152.20, 385.50, 2
0.69819, 0.00025, 20661.60, 285.40, 2
0.69859, 0.00020, 20956.80, 354.00, 2
0.69899, 0.00020, 21173.30, 534.20, 2
0.69949, 0.00025, 21075.40, 417.50, 2
0.69989, 0.00020, 21141.50, 462.70, 2
0.70029, 0.00020, 20776.00, 403.80, 2
0.70079, 0.00025, 21584.80, 731.00, 2
0.70119, 0.00020, 20712.70, 445.50, 2
0.70169, 0.00025, 20796.50, 638.10, 2
0.70209, 0.00020, 20998.80, 448.00, 2
0.70249, 0.00020, 20573.30, 384.40, 2
0.70299, 0.00025, 21792.30, 324.20, 2
0.70339, 0.00020, 21072.20, 412.20, 2
0.70389, 0.00025, 20951.10, 444.10, 2
0.70429, 0.00020, 21195.00, 423.70, 2
0.70469, 0.00020, 20642.30, 298.70, 2
0.70519, 0.00025, 21167.90, 324.60, 2
0.70559, 0.00020, 21026.30, 394.00, 2
0.70599, 0.00020, 20887.80, 457.40, 2
0.70649, 0.00025, 20954.50, 409.20, 2
0.70689, 0.00020, 21306.30, 431.30, 2
0.70740, 0.00026, 20761.00, 325.30, 2
0.70780, 0.00020, 21090.00, 332.10, 2
0.70820, 0.00020, 20922.20, 250.70, 2
0.70870, 0.00025, 21204.00, 412.40, 2
0.70910, 0.00020, 21119.40, 534.90, 2
0.70960, 0.00025, 21338.60, 452.80, 2
0.71000, 0.00020, 20827.00, 384.50, 2
0.71050, 0.00025, 20690.20, 383.50, 2
0.71090, 0.00020, 21016.00, 387.70, 2
0.71130, 0.00020, 20727.90, 406.50, 2
0.71180, 0.00025, 20823.50, 364.10, 2
0.71220, 0.00020, 21210.70, 441.10, 2
0.71270, 0.00025, 21282.40, 371.10, 2
0.71310, 0.00020, 20794.70, 446.90, 2
0.71350, 0.00020, 20726.50, 294.90, 2
0.71400, 0.00025, 20587.10, 422.80, 2
0.71440, 0.00020, 21085.20, 464.40, 2
0.71490, 0.00025, 21156.40, 431.60, 2
0.71530, 0.00020, 21001.10, 473.80, 2
0.71570, 0.00020, 20793.30, 359.00, 2
0.71620, 0.00025, 21189.60, 380.70, 2
0.71660, 0.00020, 21182.10, 457.00, 2
0.71710, 0.00025, 21123.30, 414.90, 2
0.71750, 0.00020, 20939.20, 498.00, 2
0.71800, 0.00025, 21045.00, 584.20, 2
0.71840, 0.00020, 21218.10, 310.90, 2
0.71880, 0.00020, 20620.20, 500.40, 2
0.71930, 0.00025, 21027.60, 532.10, 2
0.71970, 0.00020, 21115.20, 488.10, 2
0.72020, 0.00025, 20899.60, 477.70, 2
0.72060, 0.00020, 20941.00, 530.50, 2
0.72110, 0.00025, 20642.00, 242.20, 2
0.72150, 0.00020, 21032.60, 393.00, 2
0.72190, 0.00020, 20919.30, 388.50, 2
0.72240, 0.00025, 20658.20, 438.40, 2
0.72280, 0.00020, 20521.10, 389.00, 2
0.72330, 0.00025, 20821.70, 437.80, 2
0.72370, 0.00020, 20711.40, 366.90, 2
0.72420, 0.00025, 20210.40, 419.10, 2
0.72460, 0.00020, 20392.30, 440.40, 2
0.72500, 0.00020, 20038.70, 576.00, 2
0.72550, 0.00025, 20100.20, 379.40, 2
0.72590, 0.00020, 19824.20, 387.60, 2
0.72640, 0.00025, 20113.30, 282.30, 2
0.72680, 0.00020, 20251.00, 470.20, 2
0.72730, 0.00025, 19945.40, 392.10, 2
0.72770, 0.00020, 20587.60, 421.80, 2
0.72820, 0.00025, 20611.50, 503.70, 2
0.72860, 0.00020, 20644.30, 434.50, 2
0.72900, 0.00020, 20680.40, 425.30, 2
0.72950, 0.00025, 20639.90, 370.30, 2
0.72990, 0.00020, 19927.10, 709.10, 2
0.73040, 0.00025, 20763.20, 746.00, 2
0.73080, 0.00020, 20979.10, 393.00, 2
0.73130, 0.00025, 20662.60, 682.00, 2
0.73170, 0.00020, 21222.80, 408.40, 2
0.73220, 0.00025, 21537.00, 427.90, 2
0.73260, 0.00020, 20826.00, 429.50, 2
0.73310, 0.00025, 21271.30, 314.20, 2
0.73350, 0.00020, 21736.50, 397.00, 2
0.73390, 0.00020, 21130.60, 484.40, 2
0.73440, 0.00025, 21054.60, 360.80, 2
0.73480, 0.00020, 21047.70, 457.70, 2
0.73530, 0.00025, 20696.30, 391.20, 2
0.73570, 0.00020, 21299.80, 478.20, 2
0.73620, 0.00025, 20577.50, 336.20, 2
0.73710, 0.00045, 20627.00, 453.20, 2
0.73750, 0.00020, 20852.50, 882.20, 2
0.73800, 0.00025, 21225.80, 611.10, 2
0.73840, 0.00020, 20741.10, 412.80, 2
0.73890, 0.00025, 20469.10, 411.30, 2
0.73930, 0.00020, 21125.20, 430.80, 2
0.73980, 0.00025, 20720.00, 295.20, 2
0.74020, 0.00020, 20948.50, 303.90, 2
0.74060, 0.00020, 20901.60, 422.50, 2
0.74110, 0.00025, 20738.10, 587.60, 2
0.74150, 0.00020, 21356.80, 486.20, 2
0.74200, 0.00025, 21102.10, 418.20, 2
0.74240, 0.00020, 20583.90, 403.70, 2
0.74290, 0.00025, 20889.70, 271.60, 2
0.74330, 0.00020, 21250.60, 517.00, 2
0.74380, 0.00025, 21328.30, 331.50, 2
0.74420, 0.00020, 21027.80, 441.10, 2
0.74471, 0.00026, 21188.50, 455.60, 2
0.74511, 0.00020, 20715.30, 452.10, 2
0.74561, 0.00025, 21343.30, 608.90, 2
0.74601, 0.00020, 20955.90, 337.40, 2
0.74651, 0.00025, 20927.80, 387.10, 2
0.74691, 0.00020, 20780.20, 365.10, 2
0.74741, 0.00025, 20963.40, 526.60, 2
0.74781, 0.00020, 20877.30, 375.70, 2
0.74831, 0.00025, 21130.40, 868.20, 2
0.74871, 0.00020, 20721.60, 465.50, 2
0.74921, 0.00025, 21122.80, 448.80, 2
0.74961, 0.00020, 20794.00, 327.30, 2
0.75011, 0.00025, 21456.20, 390.20, 2
0.75051, 0.00020, 20927.70, 427.30, 2
0.75101, 0.00025, 20976.10, 386.20, 2
0.75141, 0.00020, 20382.40, 394.20, 2
0.75191, 0.00025, 20768.40, 448.60, 2
0.75231, 0.00020, 20928.10, 381.90, 2
0.75281, 0.00025, 20464.00, 445.10, 2
0.75321, 0.00020, 20509.90, 499.20, 2
0.75371, 0.00025, 21417.30, 534.50, 2
0.75411, 0.00020, 20772.40, 385.90, 2
0.75461, 0.00025, 20344.40, 394.30, 2
0.75501, 0.00020, 20641.80, 423.80, 2
0.75551, 0.00025, 21386.50, 369.30, 2
0.75591, 0.00020, 20783.30, 736.10, 2
0.75641, 0.00025, 20836.00, 384.00, 2
0.75681, 0.00020, 21032.80, 411.40, 2
0.75731, 0.00025, 21033.10, 513.00, 2
0.75771, 0.00020, 20777.00, 405.30, 2
0.75821, 0.00025, 20630.00, 432.60, 2
0.75861, 0.00020, 20842.10, 426.80, 2
0.75911, 0.00025, 21050.00, 507.40, 2
0.75951, 0.00020, 20956.00, 496.80, 2
0.76001, 0.00025, 21101.90, 614.10, 2
0.76041, 0.00020, 20887.20, 472.40, 2
0.76091, 0.00025, 21200.60, 393.20, 2
0.76131, 0.00020, 20803.70, 440.00, 2
0.76181, 0.00025, 21225.30, 407.50, 2
0.76221, 0.00020, 20498.70, 312.20, 2
0.76271, 0.00025, 21097.70, 480.80, 2
0.76311, 0.00020, 20743.00, 862.50, 2
0.76361, 0.00025, 21224.60, 433.80, 2
0.76401, 0.00020, 20527.70, 486.20, 2
0.76451, 0.00025, 21460.60, 487.00, 2
0.76491, 0.00020, 21633.60, 490.90, 2
0.76541, 0.00025, 21788.80, 383.30, 2
0.76591, 0.00025, 21602.30, 307.80, 2
0.76631, 0.00020, 21998.00, 492.40, 2
0.76681, 0.00025, 21521.00, 764.40, 2
0.76771, 0.00045, 21536.20, 349.80, 2
0.76811, 0.00020, 21521.50, 380.10, 2
0.76861, 0.00025, 21456.30, 389.10, 2
0.76901, 0.00020, 21853.90, 394.90, 2
0.76951, 0.00025, 21123.50, 325.20, 2
0.76991, 0.00020, 21238.30, 468.20, 2
0.77041, 0.00025, 21229.20, 689.20, 2
0.77081, 0.00020, 20981.80, 437.40, 2
0.77131, 0.00025, 21168.00, 356.20, 2
0.77171, 0.00020, 21528.60, 522.90, 2
0.77221, 0.00025, 20765.80, 482.70, 2
0.77261, 0.00020, 20745.40, 449.50, 2
0.77311, 0.00025, 20771.30, 450.70, 2
0.77361, 0.00025, 21071.60, 463.80, 2
0.77401, 0.00020, 20272.40, 735.20, 2
0.77451, 0.00025, 21275.70, 437.80, 2
0.77491, 0.00020, 21009.40, 434.40, 2
0.77541, 0.00025, 20738.70, 409.40, 2
0.77581, 0.00020, 21015.90, 683.90, 2
0.77631, 0.00025, 20969.20, 334.40, 2
0.77671, 0.00020, 21008.70, 444.30, 2
0.77721, 0.00025, 20879.00, 356.40, 2
0.77761, 0.00020, 20648.70, 840.70, 2
0.77811, 0.00025, 21320.00, 457.60, 2
0.77861, 0.00025, 20510.20, 411.60, 2
0.77901, 0.00020, 20565.90, 581.80, 2
0.77951, 0.00025, 20645.30, 443.50, 2
0.77991, 0.00020, 21179.30, 352.90, 2
