# Target: WASP-39b
# Author: dos Santos
wave,wave_error,dppm,dppm_err,order
1.832303882,0.009581714,21669.46697,135.8213602,1
1.851961744,0.009567696,21361.58587,202.1072578,1
1.87162205,0.009551234,21659.57259,179.4600161,1
1.891284335,0.009532793,21174.86377,209.9169127,1
1.910948199,0.009512772,21712.47752,139.5937542,1
1.930613369,0.009491446,21741.2122,140.3855579,1
1.950279385,0.009469274,21863.42241,140.6933624,1
1.969946104,0.009446398,21817.70041,135.2686906,1
1.989613348,0.009422998,21686.11446,190.8827781,1
2.009280932,0.009399258,21260.36366,188.2616118,1
2.028948784,0.00937525,21550.89321,114.4664059,1
2.048616862,0.009351015,21799.75511,209.6011411,1
2.067793369,0.009818352,21164.31643,182.6220249,1
2.086970222,0.010285343,21363.60892,148.0641529,1
2.106639099,0.01026031,21141.11629,185.3497704,1
2.12630856,0.010234692,20870.59097,310.6315367,1
2.145978701,0.010208395,20353.84347,212.1421784,1
2.165649855,0.010181085,20849.02697,209.5248607,1
2.185322249,0.010152535,20804.18625,383.5256483,1
2.204996336,0.010122292,20221.22491,183.3959059,1
2.224672425,0.010090047,20662.50313,158.9937388,1
2.244351041,0.010055274,20358.60537,266.9155678,1
2.264032912,0.010017247,20675.6726,150.2371246,1
2.283717918,0.009976084,20808.2502,230.5608703,1
2.303407192,0.009930654,18850.00377,236.6869619,1
2.323101354,0.009880337,21518.53439,167.6075372,1
2.342801106,0.009824428,21032.41738,214.0736007,1
2.362507069,0.009762309,20969.48363,194.0224411,1
2.382220209,0.009693013,21808.25062,172.737795,1
2.401941252,0.009615813,20977.77427,211.7337963,1
2.421671176,0.009529733,20229.64712,416.8240579,1
2.441410911,0.009433842,20700.40668,148.5186251,1
2.460667434,0.009821162,20835.76313,252.0849014,1
2.479935443,0.010196997,20929.27175,176.2952105,1
2.499710166,0.010066118,21395.40978,382.913159,1
2.519499004,0.009921124,21413.79201,174.2171197,1
2.539303172,0.0097608,20443.57591,338.6852738,1
2.55912379,0.009584025,20281.02254,286.3892576,1
2.578466089,0.00988557,19474.20085,288.750394,1
2.597826838,0.010168664,21000.27184,118.6500674,1
2.617704177,0.00993517,21399.00441,139.7532096,1
2.637603676,0.009679514,20909.63837,215.0300658,1
2.657027947,0.009899087,20991.97545,149.6790885,1
2.676476359,0.010094519,21471.69868,179.7025843,1
2.696449542,0.00976518,21691.13309,209.5641721,1
2.71595064,0.009907926,22175.93938,138.8205015,1
2.735480309,0.010022101,21791.79407,184.1668403,1
2.755541968,0.009604285,20953.3062,572.1740884,1
2.775134036,0.00965606,21362.21896,330.7546086,1
2.794760215,0.009673725,22250.35928,166.5446746,1
2.814420725,0.009657059,20867.57245,115.3614725,1
2.834117734,0.009603894,22405.27749,90.12806929,1
0.614227847,0.005431163,22610.42872,330.6963439,2
0.625028741,0.005225595,22209.01981,204.8076294,2
0.635708244,0.005141417,20813.04387,460.767701,2
0.646259754,0.005185232,21284.1142,448.2740634,2
0.656889355,0.005150956,21116.52723,520.578726,2
0.667379883,0.005255753,21001.51618,612.471689,2
0.677941837,0.005289124,21473.5515,541.6313042,2
0.688572243,0.005254044,20588.62165,475.2525071,2
0.699050891,0.005370721,21541.12195,303.5021614,2
0.7095919,0.005425037,21280.32372,276.5585035,2
0.720193297,0.005418966,21144.95947,185.1837468,2
0.730853235,0.005354353,21853.71079,260.8258371,2
0.741569844,0.005233069,21380.2827,357.4016303,2
0.752116082,0.005282157,21275.38292,326.9850561,2
0.762713407,0.005280156,21191.8763,290.4663817,2
0.773359348,0.005229541,21063.91549,312.7218156,2
0.783824638,0.005359576,21003.80556,318.5774189,2
0.794333468,0.005446071,20817.33659,367.6743137,2
0.804884037,0.005490827,20475.94675,360.9353281,2
0.815474922,0.005495267,20175.90593,591.1665883,2
0.826104273,0.005461242,19932.01772,559.8358845,2
0.836770431,0.005390409,20417.70096,445.1178304,2
0.847471857,0.005284309,20317.67119,407.1529722,2
0.858206777,0.005144713,21397.31311,360.6147139,2
0.868739022,0.005207793,20785.08068,202.3390828,2
0.879300408,0.005241733,20294.77026,433.3103662,2
0.88988898,0.005248486,21822.78887,223.7117252,2
0.900503527,0.005229265,20369.85684,445.7237851,2
0.911142181,0.005185935,20231.06035,649.6203628,2
0.921566397,0.005357045,20694.76803,317.5478181,2
0.932248561,0.005270206,21254.83592,711.5428022,2
0.942950111,0.005163982,21424.05614,357.1383788,2
0.953431406,0.005278012,21774.9814,281.5465883,2
0.963928469,0.005376274,21615.06697,488.7575423,2
0.974439914,0.005460154,21041.35361,217.3854367,2
0.985203523,0.005291871,20932.77768,868.8320319,2
0.995978981,0.005111737,20832.04456,350.844679,2
1.006525051,0.005160993,21633.74027,282.9684351,2
1.017079543,0.005201826,19598.69573,233.676069,2
1.027640988,0.005235707,22372.0896,156.9891858,2
1.038207927,0.005264093,20500.35098,184.1224536,2
1.048778935,0.00528841,23000.45559,305.5353165,2
1.059352636,0.005310034,22107.752,257.267343,2
1.069927291,0.005330704,20009.17844,895.3286423,2
1.080501681,0.005351639,21367.47539,529.0414457,2
1.091074364,0.005374282,21750.7468,254.3974869,2
1.101643752,0.005400219,24207.77539,310.9518959,2
1.112208415,0.005430881,21122.7518,401.6556156,2
1.122766944,0.005467677,21724.07964,276.5368859,2
1.133557527,0.00527242,22662.79597,304.8113422,2
