wavelength xh2o xco xco2 xch4 xnh3 xh2s xph3 xhcn xc2h2 xoh xna xk xso2
2.884577148123446566e+00 -2.222664637229389939e+01 -3.952028264780477684e+01 -2.357694085241156756e+01 -2.561672980040053815e+01 -2.316472203298825150e+01 -2.512931687697413707e+01 -2.337464296401220665e+01 -2.371659714893201354e+01 -2.441713922668850856e+01 -2.475417570777264586e+01 -2.995721917433404613e+01 -2.990756503980734138e+01 -2.614430915610964234e+01
2.883615942809176769e+00 -2.363272090356234401e+01 -3.827743062320857348e+01 -2.356237273887725436e+01 -2.574789862289756570e+01 -2.289979952213463932e+01 -2.513754514601627221e+01 -2.389414777474657825e+01 -2.413663421554620214e+01 -2.433294722338806082e+01 -2.529407193445390689e+01 -2.995718704868583515e+01 -2.990752445387055758e+01 -2.616956966276897845e+01
2.882655057789913045e+00 -2.329242246567259400e+01 -4.047050994045834926e+01 -2.353624235325336045e+01 -2.571246779629052170e+01 -2.304569358130015999e+01 -2.542422016367173754e+01 -2.346763109395865143e+01 -2.366287746272430681e+01 -2.467297329480075518e+01 -2.849078994986806279e+01 -2.995715105681609103e+01 -2.990747898307529340e+01 -2.617797691350272515e+01
2.881694492958926546e+00 -2.237790836692168028e+01 -3.850792765123352979e+01 -2.345839441381754042e+01 -2.581584683300092564e+01 -2.196939319535685087e+01 -2.486921123640589570e+01 -2.337017679279183469e+01 -2.483321678620396256e+01 -2.436735106309919985e+01 -2.872870232280045144e+01 -2.995711571820524455e+01 -2.990743433718555622e+01 -2.614167203609483181e+01
2.880734248209523063e+00 -2.240375160824410017e+01 -3.794748668455626728e+01 -2.354459518699168541e+01 -2.579140901029330379e+01 -2.212934156544019260e+01 -2.516698692962631156e+01 -2.345011943010701216e+01 -2.408078637677749612e+01 -2.463138461430188286e+01 -2.431312424734108291e+01 -2.995708037902797471e+01 -2.990738969008940984e+01 -2.612611488852194341e+01
2.879774323435044359e+00 -2.332010587391314971e+01 -3.822453894920349882e+01 -2.347534445904620881e+01 -2.564226459249997703e+01 -2.252704048356521227e+01 -2.500865913716464206e+01 -2.390729785628678883e+01 -2.372826249918216845e+01 -2.440455983198953760e+01 -2.896334554314302423e+01 -2.995704503928459417e+01 -2.990734504178717046e+01 -2.615110289098257468e+01
2.878814718528868166e+00 -2.320902333669459239e+01 -3.783814983136520738e+01 -2.339656946645314051e+01 -2.617876578049312641e+01 -2.282333781587433208e+01 -2.513185310855385168e+01 -2.339217352524411453e+01 -2.508014184369850241e+01 -2.485146987648055728e+01 -2.786371285691509314e+01 -2.995700969897539068e+01 -2.990730039227917203e+01 -2.613405474711868237e+01
2.877855433384406414e+00 -2.193276941162555715e+01 -4.032207069343532879e+01 -2.344215646056677826e+01 -2.623398508304230603e+01 -2.324897606945813777e+01 -2.517518362621584060e+01 -2.348329903339955393e+01 -2.366512298599118580e+01 -2.435382304389796104e+01 -2.327456840215908684e+01 -2.995697435810066267e+01 -2.990725574156572009e+01 -2.610781142684873046e+01
2.876896467895107889e+00 -2.340257704006977235e+01 -3.979481319081629920e+01 -2.340756207059292748e+01 -2.541420563596627957e+01 -2.301618695849046858e+01 -2.474419379533002328e+01 -2.347518932542475767e+01 -2.434851233337371923e+01 -2.481264797065242433e+01 -2.494963084762182248e+01 -2.995693901666070147e+01 -2.990721108964713437e+01 -2.608959291305050243e+01
2.875937821954456464e+00 -2.390977609884513200e+01 -3.805568116721241978e+01 -2.335844230455748516e+01 -2.595721910262182064e+01 -2.281193198770501596e+01 -2.502969615535519665e+01 -2.356506030089450121e+01 -2.423964628398721644e+01 -2.455828811537730516e+01 -2.896619401575178543e+01 -2.995690367465580906e+01 -2.990716643652372753e+01 -2.612968457034595815e+01
